,titleId,title,region,startYear,runtimeMinutes,genres,averageRating,directors,writers
1559,tt0012513,The Nut,US,1921,74,"Action,Comedy,Romance",6.5,nm0715716,"nm0202617,nm0001196,nm0662701,nm0940689"
1560,tt0012514,O'Malley of the Mounted,US,1921,60,"Adventure,Drama,Western",5.1,nm0385171,"nm0366586,nm0385171"
1561,tt0012520,The Old Swimmin' Hole,US,1921,60,Comedy,6.0,nm0208657,"nm0566338,nm0727058"
1562,tt0012529,One a Minute,US,1921,56,Comedy,6.0,nm0625424,"nm0413531,nm0688853"
1563,tt0012532,Orphans of the Storm,US,1921,150,"Drama,History,Romance",7.4,nm0000428,"nm0257866,nm0180077,nm0000428"
1564,tt0012532,The Two Orphans,US,1921,150,"Drama,History,Romance",7.4,nm0000428,"nm0257866,nm0180077,nm0000428"
1565,tt0012538,Outside the Law,US,1920,75,"Crime,Romance,Thriller",6.6,nm0115218,"nm0103024,nm0115218,nm0399203"
1566,tt0012541,The Honourable Gentleman,US,1920,0,0,6.2,nm0050846,"nm0008280,nm0050846,nm0375468"
1567,tt0012541,Pagan Love,US,1920,0,0,6.2,nm0050846,"nm0008280,nm0050846,nm0375468"
1568,tt0012555,Love or Hate,US,1921,84,Drama,6.4,nm0107543,"nm0070251,nm0107543,nm0613943"
1569,tt0012555,Passion Flower,US,1921,84,Drama,6.4,nm0107543,"nm0070251,nm0107543,nm0613943"
1570,tt0012562,Head Hunters of Papua,US,1921,56,Documentary,6.2,nm0403439,\N
1571,tt0012562,The Lost Tribe,US,1921,56,Documentary,6.2,nm0403439,\N
1572,tt0012563,Peck's Bad Boy,US,1921,51,Comedy,6.3,nm0939992,"nm0167769,nm0669661,nm0939992"
1573,tt0012565,A Perfect Crime,US,1921,50,"Adventure,Comedy,Drama",6.2,nm0245385,"nm0165308,nm0245385"
1574,tt0012591,The Princess of New York,US,1921,50,"Crime,Drama",6.7,nm0187981,"nm0357795,nm0877332"
1575,tt0012600,The Queen of Sheba,US,1921,90,"Adventure,Drama",7.1,nm0250053,"nm0250053,nm0870571"
1576,tt0012619,Reputation,US,1921,70,0,5.3,nm0665737,"nm0399203,nm0505590,nm0775471"
1577,tt0012623,The Rider of the King Log,US,1921,0,Drama,9.6,nm0398464,nm0206425
1578,tt0012627,Rip Van Winkle,US,1921,58,Fantasy,5.8,nm0524995,"nm0099105,nm0410331,nm0420198,nm0524995,nm0663767"
1579,tt0012631,Souls on the Road,US,1921,91,Drama,6.6,nm0613600,"nm0331003,nm0773299,nm0882349"
1580,tt0012636,The Rough Diamond,US,1921,50,"Comedy,Western",7.0,nm0781292,"nm0594291,nm0781292,nm0817809"
1581,tt0012642,A Sailor-Made Man,US,1921,47,Comedy,6.8,nm0628345,"nm0730018,nm0853130,nm0369841,nm0907778"
1582,tt0012645,Mad Love,US,1921,82,Drama,6.6,nm0118266,"nm0118266,nm0241416"
1583,tt0012651,Castle Vogeloed,US,1921,75,"Crime,Drama,Horror",6.1,nm0003638,"nm0833695,nm0562346"
1584,tt0012651,The Haunted Castle,US,1921,75,"Crime,Drama,Horror",6.1,nm0003638,"nm0833695,nm0562346"
1585,tt0012657,The Sea Lion,US,1921,63,"Adventure,Drama,Romance",6.5,nm0498174,"nm0425045,nm0688853"
1586,tt0012664,Sentimental Tommy,US,1921,80,Drama,5.5,nm0731910,"nm0057381,nm0522674"
1587,tt0012675,The Sheik,US,1921,86,"Adventure,Drama,Romance",6.3,nm0577654,"nm0401423,nm0441601"
1588,tt0012685,The Silent Call,US,1921,70,"Adventure,Family",4.8,nm0872868,"nm0263346,nm0613848"
1589,tt0012689,Queen o' Turf,US,1921,50,Drama,5.5,nm0920279,"nm0181837,nm0920279"
1590,tt0012689,Queen of the Turf,US,1921,50,Drama,5.5,nm0920279,"nm0181837,nm0920279"
1591,tt0012695,The Single Track,US,1921,0,"Action,Adventure,Drama",2.9,nm0132926,"nm0335370,nm0048305,nm0228506"
1592,tt0012696,The Sins of Rosanne,US,1920,50,Drama,6.0,nm0286379,"nm0640437,nm0830868"
